#{"t_start": 1716333781.762395, "env_id": "None"}
r,l,t
1449600.09039,10000,2618.420695
1449600.09039,10000,2635.044365
265007.835891,10000,2664.628951
265007.835891,10000,2680.350767
265007.835891,10000,2697.899181
265007.835891,10000,2717.184978
265007.835891,10000,2738.538922
256683.836392,10000,2772.966151
256683.836392,10000,2794.698344
256683.836392,10000,2814.998122
256683.836392,10000,2832.402034
256683.836392,10000,2849.474928
559016.756432,10000,2878.191402
559016.756432,10000,2893.992535
559016.756432,10000,2909.821037
559016.756432,10000,2926.243016
559016.756432,10000,2944.130794
540134.876166,10000,2971.972238
540134.876166,10000,2988.94773
540134.876166,10000,3006.966846
540134.876166,10000,3024.378806
540134.876166,10000,3041.457075
547830.514288,10000,3072.8493
547830.514288,10000,3090.964128
547830.514288,10000,3108.095364
547830.514288,10000,3124.720201
547830.514288,10000,3142.419581
642055.301306,10000,3171.552087
642055.301306,10000,3188.573448
642055.301306,10000,3205.585129
642055.301306,10000,3222.468802
642055.301306,10000,3239.578982
501554.513457,10000,3269.984807
501554.513457,10000,3287.145348
501554.513457,10000,3304.420864
501554.513457,10000,3322.183435
501554.513457,10000,3338.841947
493026.207736,10000,3371.642361
493026.207736,10000,3389.24372
493026.207736,10000,3406.531407
493026.207736,10000,3423.599632
493026.207736,10000,3440.958518
491224.973264,10000,3469.698405
491224.973264,10000,3486.578877
491224.973264,10000,3503.801657
491224.973264,10000,3520.905882
491224.973264,10000,3537.552891
134512.18456,10000,3566.122569
134512.18456,10000,3582.51128
134512.18456,10000,3598.931909
134512.18456,10000,3615.647089
134512.18456,10000,3632.463357
93325.854942,10000,3661.533505
93325.854942,10000,3678.780968
93325.854942,10000,3696.05582
93325.854942,10000,3712.819902
93325.854942,10000,3730.626908
246536.274812,10000,3760.245739
246536.274812,10000,3777.856322
246536.274812,10000,3794.841043
246536.274812,10000,3811.446616
246536.274812,10000,3827.849066
319661.961101,10000,3856.754532
319661.961101,10000,3874.327992
319661.961101,10000,3891.570119
319661.961101,10000,3907.382904
319661.961101,10000,3924.017559
105377.837383,10000,3949.49814
105377.837383,10000,3964.497086
105377.837383,10000,4656.045599
105377.837383,10000,4673.048768
105377.837383,10000,4689.51223
-329464.322093,10000,4716.733303
-329464.322093,10000,4732.620923
-329464.322093,10000,4748.469932
-329464.322093,10000,5464.087452
-329464.322093,10000,5482.069546
102064.577553,10000,5510.775825
102064.577553,10000,5527.728725
102064.577553,10000,5544.972342
102064.577553,10000,5561.80573
102064.577553,10000,5578.897421
-177308.968943,10000,5608.494478
-177308.968943,10000,5625.762716
-177308.968943,10000,5643.074496
-177308.968943,10000,5661.240676
-177308.968943,10000,5678.350019
-185308.071167,10000,5706.980239
-185308.071167,10000,5724.136046
-185308.071167,10000,5741.695492
-185308.071167,10000,5758.716537
-185308.071167,10000,5776.241461
-345665.543123,10000,5805.793417
-345665.543123,10000,5822.434616
-345665.543123,10000,5839.59369
-345665.543123,10000,5857.19494
-345665.543123,10000,5873.694296
-266750.652402,10000,5902.384924
-266750.652402,10000,5918.866392
-266750.652402,10000,5935.443012
-266750.652402,10000,5951.845991
-266750.652402,10000,5968.105098
-289523.271701,10000,5997.555667
-289523.271701,10000,6015.848483
-289523.271701,10000,6032.909189
-289523.271701,10000,6049.584006
-289523.271701,10000,6066.103419
11000.867493,10000,6095.700271
11000.867493,10000,6112.393983
11000.867493,10000,6129.069374
11000.867493,10000,6147.189092
11000.867493,10000,6163.800463
198414.144744,10000,6193.340052
198414.144744,10000,6209.890817
198414.144744,10000,6226.401159
198414.144744,10000,6243.095359
198414.144744,10000,6260.09813
193688.586723,10000,6288.092361
193688.586723,10000,6304.793725
193688.586723,10000,6321.451446
193688.586723,10000,6337.997033
193688.586723,10000,6354.564718
172553.53361,2456,6370.332489
172553.53361,2456,6374.985667
172553.53361,2456,6379.331826
172553.53361,2456,6383.652208
172553.53361,2456,6387.985386
362027.34107,10000,6417.125923
362027.34107,10000,6434.186449
362027.34107,10000,6450.754265
362027.34107,10000,6468.751079
362027.34107,10000,6485.71008
-156585.972672,10000,6514.816796
-156585.972672,10000,6534.067886
-156585.972672,10000,6551.67192
-156585.972672,10000,6568.932353
-156585.972672,10000,6585.500206
210322.676403,10000,6618.613914
210322.676403,10000,6636.666015
210322.676403,10000,6654.575692
210322.676403,10000,6673.03537
210322.676403,10000,6691.183729
84143.283203,10000,6724.290998
84143.283203,10000,6743.084603
84143.283203,10000,6761.097317
84143.283203,10000,6779.885993
84143.283203,10000,6797.738119
-9254.367234,10000,6827.831746
-9254.367234,10000,6844.396345
-9254.367234,10000,6862.648693
-9254.367234,10000,6879.658489
-9254.367234,10000,6896.972477
35743.723219,10000,6925.456039
35743.723219,10000,6941.316244
35743.723219,10000,6957.370945
35743.723219,10000,6975.594528
35743.723219,10000,6999.51858
115619.976239,10000,7030.092059
115619.976239,10000,7046.95805
115619.976239,10000,7065.561864
115619.976239,10000,7084.546708
115619.976239,10000,7101.289273
68260.23958,10000,7130.157343
68260.23958,10000,7147.70249
68260.23958,10000,7166.657284
68260.23958,10000,7183.805305
68260.23958,10000,7201.442063
76658.041468,10000,7231.458816
76658.041468,10000,7248.654908
76658.041468,10000,7266.226171
76658.041468,10000,7284.851899
76658.041468,10000,7302.128305
93757.61961,10000,7332.491433
93757.61961,10000,7349.657507
93757.61961,10000,7367.411558
93757.61961,10000,7385.19712
93757.61961,10000,7403.163786
100192.038205,10000,7432.123401
100192.038205,10000,7449.581474
100192.038205,10000,7466.405861
100192.038205,10000,7483.757257
100192.038205,10000,7501.300832
41612.46303,10000,7531.117416
41612.46303,10000,7548.797823
41612.46303,10000,7566.267484
41612.46303,10000,7583.05041
41612.46303,10000,7599.375247
70288.690958,10000,7627.0034
70288.690958,10000,7644.567303
70288.690958,10000,7661.141052
70288.690958,10000,7677.806551
70288.690958,10000,7694.378798
-183719.057899,10000,7723.244309
-183719.057899,10000,7740.065818
-183719.057899,10000,7756.969949
-183719.057899,10000,7773.969346
-183719.057899,10000,7792.55982
-209011.82736,10000,7821.705938
-209011.82736,10000,7837.872526
-209011.82736,10000,7854.2319
-209011.82736,10000,7871.915009
-209011.82736,10000,7888.177251
-76173.510683,10000,7916.683223
